id,piece,long,lat
11110,종로구,37.58541749,126.9736345
11140,중구,37.56208155,126.9955712
11170,용산구,37.53441735,126.9788391
11200,성동구,37.55334876,127.039112
11215,광진구,37.54673738,127.0879391
11230,동대문구,37.582692099005975, 127.05258897089557
11260,중랑구,37.598715826850004, 127.09182050861
11290,성북구,37.60254180241557, 127.01794026243655
11305,강북구,37.63611024456881, 127.01640628471625
11320,도봉구,37.66908089033237, 127.03158859848097
11350,노원구,37.65106456081518, 127.07319218475408
11380,은평구,37.62063280091072, 126.92285609813499
11410,서대문구,37.575688419401246, 126.93771952062713
11440,마포구,37.559413885177506, 126.90435100001353
11470,양천구,37.52275710502875, 126.8531952130547
11500,강서구,37.56116058737192, 126.8186035659619
11530,구로구,37.49797351893109, 126.84760909479917
11545,금천구,37.461210822876836, 126.90040767657933
11560,영등포구,37.52157567022465, 126.91083507200169
11590,동작구,37.50375927188052, 126.9497282804818
11620,관악구,37.468581443047576, 126.94699391525782
11650,서초구,37.4737601299697, 127.02472550788153
11680,강남구,37.49964834261998, 127.0473066988799
11710,송파구,37.50511810725527, 127.11037901665196
11740,강동구,37.55324097128758, 127.1457402885678
